idRestaurant,name,borough,inspectionDate,grade
40783591,CINDY RESTAURANT LUNCHEONETTE,BROOKLYN,2016-02-29,
40923379,JOE'S RESTAURANT,QUEENS,2016-07-13,
50010326,MCDONALD'S,QUEENS,2015-04-14,A
50040672,CASA COLOMBIA,QUEENS,2016-03-07,
50015771,MU RAMEN,QUEENS,2016-10-15,A
41638061,DUNKIN' DONUTS,MANHATTAN,2013-05-01,
41718241,VCHRIS AFRICAN CUISINE,BROOKLYN,2013-06-15,B
41386047,LIN'S GARDEN KITCHEN,BROOKLYN,2015-06-25,A
40611479,JOE'S OF AVE U,BROOKLYN,2013-09-09,
41539257,FOO KEE SEAFOOD RESTAURANT,QUEENS,2014-12-03,
41408013,TRINI HOME RESTAURANT,BROOKLYN,2014-07-15,
40387339,UNO PIZZERIA AND GRILL,MANHATTAN,2015-08-11,A
40743416,DOMINO'S,QUEENS,2015-02-24,
41377657,SIK GAEK II,QUEENS,2016-04-30,
41704391,NEW MANDARIN COURT,MANHATTAN,2014-10-09,C
41573593,ANA'S PASTRY SHOP,MANHATTAN,2015-11-19,
40759586,CAFE BUON GUSTO,MANHATTAN,2015-05-11,
41696211,ACADEMIA COFFEE,MANHATTAN,2015-02-05,A
41658866,DELI DOROJ FRIED CHICKEN AND PIZZA,BROOKLYN,2014-02-06,A
41383548,BOQUERIA,MANHATTAN,2013-12-23,A
40424430,MOTHER'S BAKE SHOP,BRONX,2015-04-21,
41651566,NEW TIMES CHINESE RESTAURANT,BROOKLYN,2016-08-03,
40887518,BARBES,BROOKLYN,2013-10-10,
41541665,26 SEATS,MANHATTAN,2014-12-09,
41641204,CHINA GARDEN RESTAURANT,BROOKLYN,2013-05-09,
41163361,ANGIE'S CAFE PIZZA,BRONX,2015-12-04,A
50050448,NEW CHINA KITCHEN,BROOKLYN,2016-07-05,
41546934,ALLEY POND DRIVING RANGE,QUEENS,2014-08-19,A
41232578,"DUNKIN' DONUTS, BASKIN ROBBINS",BRONX,2014-05-29,A
41610646,FINANCIER PATISSERIE,MANHATTAN,2015-01-23,A
41416298,TOM'S RESTAURANT,BROOKLYN,2014-04-01,
50034379,BLACK BARN,MANHATTAN,2015-06-11,A
50015197,EAST SEAFOOD RESTAURANT,MANHATTAN,2014-12-05,B
40883049,DUNKIN' DONUTS,STATEN ISLAND,2012-12-24,A
50012113,TANG,QUEENS,2014-06-25,
41097313,LA FLOR DEL PARAISO RESTAURAUNT,QUEENS,2016-07-15,
41260791,MANTA LLAVE DEL MAR BAR RESTAURANT,QUEENS,2016-01-13,
50005377,ACE BAGEL & ROLL,QUEENS,2014-02-06,
50018480,W'' CAFE,MANHATTAN,2015-01-07,
41709142,SILVER STAR CHINESE RESTAURANT,BROOKLYN,2016-01-28,
50017020,ORA DI PASTA,MANHATTAN,2015-10-27,
41056433,"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,2015-01-12,A
41312239,OKA SUSHI,MANHATTAN,2015-03-12,B
41702711,CHIPOTLE MEXICAN GRILL,BROOKLYN,2016-01-12,
40969008,PIA'S PIZZERIA,BROOKLYN,2015-06-22,
41681923,MIST HARLEM,MANHATTAN,2015-10-19,A
41074629,DOMINO'S,BRONX,2016-08-04,A
41424610,FRIENDS SPORTS BAR,BRONX,2016-09-23,
